"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences" "norep_filter_name" "tot_bacprod" "SD_tot_bacprod"
"96" "MOTH-915" 5739777.743 1423389.477 4316388.267 85495.8437 36257.16463 64443.2639 "Accuri" "Muskegon" "MOTH1F915" "Fall" "September" 2015 "Free" "MOT" "Deep" 23304 "MOTHF915" NA NA
"97" "Muskegon_April" 3676467.696 1882609.241 1793858.455 37197.23022 17203.51665 20139.01762 "Accuri" "Michigan" "Sp13.BD.MLB.SN.1" "Spring" "April" 2013 "Free" "MLB" "Surface" 34970 "Sp13BD.M" NA NA
"98" "MM110-S-D_April" 1233601.825 332729.8451 900871.98 214950.6786 56130.15509 158912.6691 "Accuri" "Michigan" "Sp13.BD.MM110.SD.1" "Spring" "April" 2013 "Free" "MM110" "Surface" 35804 "Sp13BD.M" NA NA
"99" "MM110-S-N_April" 1758473.265 408481.7023 1349991.562 64090.28468 22058.93255 44732.69263 "Accuri" "Michigan" "Sp13.BD.MM110.SN.1" "Spring" "April" 2013 "Free" "MM110" "Surface" 35958 "Sp13BD.M" NA NA
"100" "MM15-D-D_April" 3019947.42 1329590.729 1690356.691 35081.79388 25818.55921 25525.35229 "Accuri" "Michigan" "Sp13.BD.MM15.DD.1" "Spring" "April" 2013 "Free" "MM15" "Deep" 35392 "Sp13BD.M" NA NA
"101" "MM15-S-D_April" 2713212.175 1072190.979 1641021.197 50109.03403 37492.64308 23424.43841 "Accuri" "Michigan" "Sp13.BD.MM15.SD.1" "Spring" "April" 2013 "Free" "MM15" "Surface" 33508 "Sp13BD.M" NA NA
"102" "MM15-S-N_April" 2757128.082 1168979.21 1588148.872 24022.56792 2626.909072 24470.4298 "Accuri" "Michigan" "Sp13.BD.MM15.SN.1" "Spring" "April" 2013 "Free" "MM15" "Surface" 35586 "Sp13BD.M" NA NA
"103" "MLB-D-D_July" 7578896.999 1894802.069 5684094.93 111101.8826 64951.66827 52537.74464 "Accuri" "Michigan" "Su13.BD.MLB.DD.1" "Summer" "July" 2013 "Free" "MLB" "Deep" 34367 "Su13BD.M" NA NA
"104" "MLB40y-S-D_July" 13328624.8 4082957.132 9245667.665 277560.5158 132141.3781 150749.9014 "Accuri" "Michigan" "Su13.BD.MLB.SD.1" "Summer" "July" 2013 "Free" "MLB" "Surface" 32968 "Su13BD.M" NA NA
"105" "MM110-DCMD_July" 1895526.594 742792.257 1152734.337 51736.376 28967.35582 22885.76472 "Accuri" "Michigan" "Su13.BD.MM110.DCMD.1" "Summer" "July" 2013 "Free" "MM110" "Deep" 35263 "Su13BD.M" NA NA
"106" "MM110-D-N_July" 470724.2112 131128.2349 339595.9763 3351.046423 3548.679604 1563.658299 "Accuri" "Michigan" "Su13.BD.MM110.DN.1" "Summer" "July" 2013 "Free" "MM110" "Deep" 38444 "Su13BD.M" NA NA
"107" "MM110-S-D_July" 1573259.812 238393.368 1334866.444 220296.0805 36120.03161 185026.1146 "Accuri" "Michigan" "Su13.BD.MM110.SD.1" "Summer" "July" 2013 "Free" "MM110" "Surface" 32175 "Su13BD.M" NA NA
"108" "MM110-S-N_July" 1699761.618 251029.9334 1448731.685 33261.5452 10431.17575 30313.12866 "Accuri" "Michigan" "Su13.BD.MM110.SN.1" "Summer" "July" 2013 "Free" "MM110" "Surface" 34265 "Su13BD.M" NA NA
"109" "MM15-D-N_July" 2491911.735 617480.1365 1874431.599 29053.96917 9262.75169 20829.12352 "Accuri" "Michigan" "Su13.BD.MM15.DN.1" "Summer" "July" 2013 "Free" "MM15" "Deep" 31706 "Su13BD.M" NA NA
"110" "MM15-S-D_July" 2781922.711 565478.2961 2216444.415 36366.33124 7002.639501 36366.49868 "Accuri" "Michigan" "Su13.BD.MM15.SD.1" "Summer" "July" 2013 "Free" "MM15" "Surface" 32334 "Su13BD.M" NA NA
